 
"","PM39985BA","PM39998BA","PM39997BA","PM39996BA","PM39995BA","PM39994BA","PM39993BA","PM39992BA","PM39991BA","PM39990BA","PM39989BA","PM39988BA","PM39987BA","PM39986BA","PM39972BA","PM39984BA","PM39983BA","PM39982BA","PM39981BA","PM39980BA","PM39979BA","PM39978BA","PM39977BA","PM39976BA","PM39975BA","PM39974BA","PM39973BA"
"","Balanza de Pagos (millones US$) - Cuenta Financiera - Sector Privado","Balanza de Pagos (millones US$) - Resultado de Efecto Valuación","Balanza de Pagos (millones US$) - Resultado de Variación del Saldo de RIN","Balanza de Pagos (millones US$) - Resultado de Balanza de Pagos","Balanza de Pagos (millones US$) - Errores y Omisiones Netos","Balanza de Pagos (millones US$) - Financiamiento Excepcional","Balanza de Pagos (millones US$) - Cuenta Financiera - Capitales de Corto Plazo - Pasivos","Balanza de Pagos (millones US$) - Cuenta Financiera - Capitales de Corto Plazo - Activos","Balanza de Pagos (millones US$) - Cuenta Financiera - Capitales de Corto Plazo","Balanza de Pagos (millones US$) - Cuenta Financiera - Sector Público - Pasivos","Balanza de Pagos (millones US$) - Cuenta Financiera - Sector Público - Activos","Balanza de Pagos (millones US$) - Cuenta Financiera - Sector Público","Balanza de Pagos (millones US$) - Cuenta Financiera - Sector Privado - Pasivos","Balanza de Pagos (millones US$) - Cuenta Financiera - Sector Privado - Activos","Balanza de Pagos (millones US$) - Cuenta Corriente","Balanza de Pagos (millones US$) - Cuenta Financiera","Balanza de Pagos (millones US$) - Cuenta Corriente - Ingreso Secundario - del cual Remesas del Exterior","Balanza de Pagos (millones US$) - Cuenta Corriente - Ingreso Secundario","Balanza de Pagos (millones US$) - Cuenta Corriente - Ingreso Primario - Público","Balanza de Pagos (millones US$) - Cuenta Corriente - Ingreso Primario - Privado","Balanza de Pagos (millones US$) - Cuenta Corriente - Ingreso Primario","Balanza de Pagos (millones US$) - Cuenta Corriente - Servicios - Importaciones","Balanza de Pagos (millones US$) - Cuenta Corriente - Servicios - Exportaciones","Balanza de Pagos (millones US$) - Cuenta Corriente - Servicios","Balanza de Pagos (millones US$) - Cuenta Corriente - Bienes - Importaciones","Balanza de Pagos (millones US$) - Cuenta Corriente - Bienes - Exportaciones","Balanza de Pagos (millones US$) - Cuenta Corriente - Bienes"
2016,-2306.86767290788,32.187002,200.651790000004,168.464788000004,-901.302024076314,0,519.33334825559,-216.332001934222,-735.665350189812,2839.12515780252,165.414796917194,-2673.71036088533,5204.36447563164,2897.49680272376,-4646.47657190671,-5716.24338398302,2943.093588891,5189.02262532065,-835.949841993236,-8246.82040047498,-9082.77024246822,8504.66363981395,5789.56027421271,-2715.10336560123,35126.0161231043,37088.3905339464,1962.37441084209
2017,-835.414480564969,306.798177,1935.50651,1628.708333,909.852810982577,0,729.086066549642,1881.65898105695,1152.5729145073,2648.52469110665,-733.405882422169,-3381.93057352882,5273.37084786914,4437.95636730417,-2345.91661756906,-3064.77213958648,3112.76534557326,5414.97482812264,-979.505196905339,-10605.7276933623,-11585.2328902677,8924.73880818489,6063.11028805831,-2861.62852012658,38718.5559551566,45404.5259198591,6685.96996470256
2018,-1963.10785746833,129.61569,-3499.77972999999,-3629.39542,-2831.74300857436,0,886.327723905114,2829.973345719,1943.64562181388,2323.07559325779,287.607191461007,-2035.46840179678,4779.84332285932,2816.73546539099,-2852.58304887686,-2054.93063745123,3234.30888410748,5006.14148183218,-1033.62964301367,-10440.487305041,-11474.1169480547,9900.00374967492,6300.01458324878,-3599.98916642614,41857.2221497419,49072.6037335137,7215.38158377182
2019,-2752.95633199421,1285.87119,8194.62647,6908.75528,910.98179294451,0,-1406.17853986688,-1873.00535595064,-466.826816083757,4187.29682086512,-252.756824359191,-4440.05364522431,3906.61386076804,1153.65752877383,-1662.06330624679,-7659.83679330228,3344.55505921445,5363.86399234911,-953.372641827194,-8841.03466185133,-9794.40730367853,10772.2384748534,6647.89532790118,-4124.34314695222,41102.3271575954,47995.1503096303,6892.82315203485
2020,3224.96270492711,1089.84193413,6391.01656300001,5301.17462887001,-2127.40910910566,0,1934.99078021285,2556.4374343631,621.446654150252,10115.75905765,164.333855667463,-9951.42520198249,-1595.69905742662,1629.26364750049,1323.56789507054,-6105.01584290512,2906.81445623215,5110.86057186107,-1246.56030950396,-5445.33262794154,-6691.89293744549,7832.22383484497,2639.23570906528,-5192.98812577969,34723.9999574667,42821.5883439014,8097.58838643466
2021,-16246.9243471518,-621.725784994906,3788.57892799999,4410.30471299489,-5769.81788199986,0,-192.427359842301,16365.0745434139,16557.5019032562,15643.7251251082,-51.9740180127102,-15695.6991431209,7781.79097442658,-8465.1333727252,-5204.9989920218,-15385.1215870165,3607.92505386272,5875.68401446691,-1726.13692732665,-16276.7552197731,-18002.8921470998,10831.1309271311,2859.78118967301,-7971.34973745806,48220.341796019,63113.9006740881,14893.5588780691
2022,-13705.2319826748,-1522.90794943,-6612.12486700001,-5089.21691757001,-3213.16554689426,0,-202.80043511415,4115.45848773915,4318.2589228533,-1097.18175673723,105.466,1202.64775673723,11433.8825544659,-2271.34942820896,-10060.37667376,-8184.32530308427,3710.80523448257,5860.37603085217,-1563.17975192741,-15574.5832191508,-17137.7629710782,13829.2670990718,4952.17138374606,-8877.09571532572,56245.1238267054,66339.2298084972,10094.1059817918
2023,-65.134925159846,1909.7128717,-850.354840999993,-2760.06771269999,-3623.68741943413,0,2104.11170130445,1876.64805275737,-227.463648547079,-754.129788660879,-36.0090000000001,718.120788660879,5208.79489466168,5143.65996950183,1289.1419216881,425.522214953954,4446.8148549166,6872.49775210761,-505.393634324279,-14125.908627177,-14631.3022615012,13705.4995858967,5748.39788154956,-7957.10170434713,49957.6673360393,66962.7154714681,17005.0481354289
2024,305.911763808627,899.90263914,7953.642387,7053.73974786,-1793.1413423942,0,-2133.02921363243,955.159237001468,3088.1884506339,5237.4869262876,-34.74,-5272.2269262876,7575.45418974695,7881.36595355558,6968.75437840912,-1878.12671184508,4933.77111013101,7626.30954123079,103.624073456336,-16983.7095461868,-16880.0854727305,14942.6559363112,7020.79057031073,-7921.86536600048,52212.6720604029,76357.0677363122,24144.3956759093
2025,-2947.854052702,3373.00787725,11227.83145,7854.82357275001,-7491.91831611359,0,-1897.37319733054,2266.53004584136,4163.9032431719,4784.73200027602,226.483252326238,-4558.24874794978,10987.4706133257,8039.61656062365,12004.5423313837,-3342.19955747988,5299.34195704974,7906.24650542332,-55.1968893481856,-23048.6547704493,-23103.8516597975,15873.4210145692,7642.95967162032,-8230.46134294885,58560.3446336167,93992.9534623234,35432.6088287067
2026,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
		
